split,tn,fp,fn,tp,n_legit,n_fraud,false_positive_rate,false_negative_rate,precision,recall,f1,roc_auc,pr_auc
validation,979820,32,174,390,979852,564,3.2657993247959895e-05,0.30851063829787234,0.9241706161137441,0.6914893617021277,0.7910750507099391,0.9994067230749539,0.8389910828920154
test,914428,183,991,3015,914611,4006,0.00020008506348600662,0.2473789316025961,0.9427767354596623,0.752621068397404,0.8370349805663521,0.9993252540643862,0.9191473572325793
